feature_name,feature_group,source_tables,source_columns,transformation_logic,join_key,aggregation_level,availability_time,leakage_risk,production_controls,owner,used_in_model
installment_avg_payment_delay_days,installment_repayment_history,installments_payments.csv,"DAYS_ENTRY_PAYMENT, DAYS_INSTALMENT, AMT_PAYMENT, AMT_INSTALMENT","Create payment delay and payment ratio, then aggregate count, late count, average/max delay, and average payment ratio to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical installments,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Enforce observation cutoff by installment/payment date, exclude future repayment behavior, and separately test leakage around target-loan payments.",Data Science / Credit Risk,True
installment_avg_payment_ratio,installment_repayment_history,installments_payments.csv,"DAYS_ENTRY_PAYMENT, DAYS_INSTALMENT, AMT_PAYMENT, AMT_INSTALMENT","Create payment delay and payment ratio, then aggregate count, late count, average/max delay, and average payment ratio to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical installments,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Enforce observation cutoff by installment/payment date, exclude future repayment behavior, and separately test leakage around target-loan payments.",Data Science / Credit Risk,True
installment_late_payment_count,installment_repayment_history,installments_payments.csv,"DAYS_ENTRY_PAYMENT, DAYS_INSTALMENT, AMT_PAYMENT, AMT_INSTALMENT","Create payment delay and payment ratio, then aggregate count, late count, average/max delay, and average payment ratio to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical installments,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Enforce observation cutoff by installment/payment date, exclude future repayment behavior, and separately test leakage around target-loan payments.",Data Science / Credit Risk,True
installment_max_payment_delay_days,installment_repayment_history,installments_payments.csv,"DAYS_ENTRY_PAYMENT, DAYS_INSTALMENT, AMT_PAYMENT, AMT_INSTALMENT","Create payment delay and payment ratio, then aggregate count, late count, average/max delay, and average payment ratio to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical installments,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Enforce observation cutoff by installment/payment date, exclude future repayment behavior, and separately test leakage around target-loan payments.",Data Science / Credit Risk,True
installment_payment_count,installment_repayment_history,installments_payments.csv,"DAYS_ENTRY_PAYMENT, DAYS_INSTALMENT, AMT_PAYMENT, AMT_INSTALMENT","Create payment delay and payment ratio, then aggregate count, late count, average/max delay, and average payment ratio to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical installments,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Enforce observation cutoff by installment/payment date, exclude future repayment behavior, and separately test leakage around target-loan payments.",Data Science / Credit Risk,True
pos_cash_avg_installments_future,pos_cash_balance_history,POS_CASH_balance.csv,"SK_DPD_DEF, CNT_INSTALMENT_FUTURE","Aggregate POS cash monthly observation count, delinquency count, max DPD, and average remaining installments to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical POS cash records,Must include only POS balance snapshots before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter monthly snapshots by observation date, exclude target-loan future performance, and monitor delinquency and remaining-installment drift.",Data Science / Credit Risk,True
pos_cash_late_count,pos_cash_balance_history,POS_CASH_balance.csv,"SK_DPD_DEF, CNT_INSTALMENT_FUTURE","Aggregate POS cash monthly observation count, delinquency count, max DPD, and average remaining installments to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical POS cash records,Must include only POS balance snapshots before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter monthly snapshots by observation date, exclude target-loan future performance, and monitor delinquency and remaining-installment drift.",Data Science / Credit Risk,True
pos_cash_max_dpd_def,pos_cash_balance_history,POS_CASH_balance.csv,"SK_DPD_DEF, CNT_INSTALMENT_FUTURE","Aggregate POS cash monthly observation count, delinquency count, max DPD, and average remaining installments to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical POS cash records,Must include only POS balance snapshots before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter monthly snapshots by observation date, exclude target-loan future performance, and monitor delinquency and remaining-installment drift.",Data Science / Credit Risk,True
pos_cash_month_count,pos_cash_balance_history,POS_CASH_balance.csv,"SK_DPD_DEF, CNT_INSTALMENT_FUTURE","Aggregate POS cash monthly observation count, delinquency count, max DPD, and average remaining installments to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical POS cash records,Must include only POS balance snapshots before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter monthly snapshots by observation date, exclude target-loan future performance, and monitor delinquency and remaining-installment drift.",Data Science / Credit Risk,True
previous_application_count,previous_application_history,previous_application.csv,"NAME_CONTRACT_STATUS, AMT_CREDIT, AMT_APPLICATION, AMT_DOWN_PAYMENT, DAYS_DECISION","Aggregate prior application counts, approved/refused counts, mean credit, mean application amount, mean down payment, and mean decision recency.",SK_ID_CURR,Applicant level from previous applications,Must include only applications decided before the current application or collections scoring timestamp.,medium,"Filter by prior decision timestamp, exclude current-loan outcome, validate application identity links, and monitor refused/approved mix drift.",Data Science / Credit Risk,True
previous_application_mean,previous_application_history,previous_application.csv,"NAME_CONTRACT_STATUS, AMT_CREDIT, AMT_APPLICATION, AMT_DOWN_PAYMENT, DAYS_DECISION","Aggregate prior application counts, approved/refused counts, mean credit, mean application amount, mean down payment, and mean decision recency.",SK_ID_CURR,Applicant level from previous applications,Must include only applications decided before the current application or collections scoring timestamp.,medium,"Filter by prior decision timestamp, exclude current-loan outcome, validate application identity links, and monitor refused/approved mix drift.",Data Science / Credit Risk,True
previous_approved_count,previous_application_history,previous_application.csv,"NAME_CONTRACT_STATUS, AMT_CREDIT, AMT_APPLICATION, AMT_DOWN_PAYMENT, DAYS_DECISION","Aggregate prior application counts, approved/refused counts, mean credit, mean application amount, mean down payment, and mean decision recency.",SK_ID_CURR,Applicant level from previous applications,Must include only applications decided before the current application or collections scoring timestamp.,medium,"Filter by prior decision timestamp, exclude current-loan outcome, validate application identity links, and monitor refused/approved mix drift.",Data Science / Credit Risk,True
previous_credit_mean,previous_application_history,previous_application.csv,"NAME_CONTRACT_STATUS, AMT_CREDIT, AMT_APPLICATION, AMT_DOWN_PAYMENT, DAYS_DECISION","Aggregate prior application counts, approved/refused counts, mean credit, mean application amount, mean down payment, and mean decision recency.",SK_ID_CURR,Applicant level from previous applications,Must include only applications decided before the current application or collections scoring timestamp.,medium,"Filter by prior decision timestamp, exclude current-loan outcome, validate application identity links, and monitor refused/approved mix drift.",Data Science / Credit Risk,True
previous_days_decision_mean,previous_application_history,previous_application.csv,"NAME_CONTRACT_STATUS, AMT_CREDIT, AMT_APPLICATION, AMT_DOWN_PAYMENT, DAYS_DECISION","Aggregate prior application counts, approved/refused counts, mean credit, mean application amount, mean down payment, and mean decision recency.",SK_ID_CURR,Applicant level from previous applications,Must include only applications decided before the current application or collections scoring timestamp.,medium,"Filter by prior decision timestamp, exclude current-loan outcome, validate application identity links, and monitor refused/approved mix drift.",Data Science / Credit Risk,True
previous_down_payment_mean,previous_application_history,previous_application.csv,"NAME_CONTRACT_STATUS, AMT_CREDIT, AMT_APPLICATION, AMT_DOWN_PAYMENT, DAYS_DECISION","Aggregate prior application counts, approved/refused counts, mean credit, mean application amount, mean down payment, and mean decision recency.",SK_ID_CURR,Applicant level from previous applications,Must include only applications decided before the current application or collections scoring timestamp.,medium,"Filter by prior decision timestamp, exclude current-loan outcome, validate application identity links, and monitor refused/approved mix drift.",Data Science / Credit Risk,True
previous_refused_count,previous_application_history,previous_application.csv,"NAME_CONTRACT_STATUS, AMT_CREDIT, AMT_APPLICATION, AMT_DOWN_PAYMENT, DAYS_DECISION","Aggregate prior application counts, approved/refused counts, mean credit, mean application amount, mean down payment, and mean decision recency.",SK_ID_CURR,Applicant level from previous applications,Must include only applications decided before the current application or collections scoring timestamp.,medium,"Filter by prior decision timestamp, exclude current-loan outcome, validate application identity links, and monitor refused/approved mix drift.",Data Science / Credit Risk,True
